INLINE WalkingSoundTable,Sound
0x0,0
Ephraim Lord,0
Eirika Lord,0
Ephraim Master Lord,1
Eirika Master Lord,1
Lance Cav,1
Lance Cav (F),1
Paladin,1
Paladin (F),1
Warden,4
Warden (F),4
General,4
General (F),4
Thief,0
Manakete,0
Mercenary,0
Mercenary (F),0
Hero,0
Hero (F),0
Myrmidon,0
Myrmidon (F),0
Swordmaster,0
Swordmaster (F),0
Assassin,0
Assassin (F),0
Archer,0
Archer (F),0
Sniper,0
Sniper (F),0
Ranger,1
Ranger (F),1
Dragon Rider,2
Dragon Rider (F),2
Wyvern Lord,2
Wyvern Lord (F),2
Wyvern Knight,2
Wyvern Knight (F),2
Mage,0
Mage (F),0
Sage,0
Sage (F),0
Mage Knight,1
Mage Knight (F),1
Bishop,0
Bishop (F),0
Shaman,0
Shaman (F),0
Druid,0
Druid (F),0
Summoner,0
Summoner (F),0
Rogue,0
Gorgon Egg,0
Cataphract,1
Cataphract (F),1
Recruit (2),0
Journeyman (3),0
Pupil (3),0
Recruit (3),0
Manakete,0
Manakete (F),0
Journeyman (1),0
Pupil (1),0
Fighter,0
Warrior,0
Brigand,0
Pirate,0
Berserker,0
Monk,0
Priest,0
Bard,0
Recruit (1),0
Pegasus Knight,3
Falcon Knight,3
Cleric,0
Troubadour,1
Valkyrie,1
Dancer,0
Soldier,0
Necromancer,0
Fleet,5
Phantom,11
Revenant,0
Entombed,4
Bonewalker,0
Bonewalker (Bow),0
Wight,0
Wight (Bow),0
Bael,0
Elder Bael,0
Cyclops,0
Mauthe Doog,0
Gwyllgi,0
Tarvos,0
Maelduin,0
Mogall,0
Arch Mogall,0
Gorgon,0
Gorgon Egg,0
Gargoyle,0
Deathgoyle,0
Dracozombie,6
Demon King,0
Archer on Ballista,0
Archer on Iron Ballista,0
Archer on Killer Ballista,0
Ballista,0
Iron Ballista,0
Killer Ballista,0
Civilian,0
Civilian (F),0
Civilian,0
Civilian (F),0
Civilian,0
Civilian (F),0
Peer,0
Queen,0
Prince,0
Queen,0
(empty),0
Fallen Prince,0
Tent,0
Pontifex,0
Dead Peer,0
Cyclops,0
Elder Bael,0
Journeyman (2),0
Pupil (2),0
Captain,0
Ninja,0
Vanguard,4
Curate,0
Deserter,0
Hunter,0
Gunner,0
SwordCav,1
AxeCav,1
GriffinRider,3
Hunter_F,0
Champion,0
Log,4
Master Ninja,0
Dreadnought,4
Seraph,3
Bombardier,3
Bomb,4
Trickster,InfantrySound
BowCav,CavalrySound
Runeshield,ArmorSound
Wolf Knight,DogSound
Fighter (F),InfantrySound
Slayer,InfantrySound
Slayer (F),InfantrySound
Monk (F),InfantrySound
Trickster (F),InfantrySound
War Monk,InfantrySound
War Monk (F),InfantrySound
Halberdier,InfantrySound
Adventurer,InfantrySound
Adventurer (F),InfantrySound
Malig Knight,WyvernSound
Warrior (F),InfantrySound
Dragoon,CavalrySound
Gryphknight,PegasusSound
Marksman,InfantrySound
Sword Knight,CavalrySound
Axe Knight,CavalrySound
Lance Knight,CavalrySound
Bow Knight,CavalrySound
Horse,CavalrySound
0xaa,0
0xab,0
0xac,0
0xad,0
0xae,0
0xaf,0
0xb0,0
0xb1,0
0xb2,0
0xb3,0
0xb4,0
0xb5,0
0xb6,0
0xb7,0
0xb8,0
0xb9,0
0xba,0
0xbb,0
0xbc,0
0xbd,0
0xbe,0
0xbf,0
0xc0,0
0xc1,0
0xc2,0
0xc3,0
0xc4,0
0xc5,0
0xc6,0
0xc7,0
0xc8,0
0xc9,0
0xca,0
0xcb,0
0xcc,0
0xcd,0
0xce,0
0xcf,0
0xd0,0
0xd1,0
0xd2,0
0xd3,0
0xd4,0
0xd5,0
0xd6,0
0xd7,0
0xd8,0
0xd9,0
0xda,0
0xdb,0
0xdc,0
0xdd,0
0xde,0
0xdf,0
0xe0,0
0xe1,0
0xe2,0
0xe3,0
0xe4,0
0xe5,0
0xe6,0
0xe7,0
0xe8,0
0xe9,0
0xea,0
0xeb,0
0xec,0
0xed,0
0xee,0
0xef,0
0xf0,0
0xf1,0
0xf2,0
0xf3,0
0xf4,0
0xf5,0
0xf6,0
0xf7,0
0xf8,0
0xf9,0
0xfa,0
0xfb,0
0xfc,0
0xfd,0
0xfe,0
