INLINE PersonalSkillTable,Skill
0x0,0x0
0x01 Lua,SuppressiveFireID
0x02 Pilar,SurpriseAttackID
0x03 Desiderio,EyeForAnEyeID
0x04 Razvan,MiraclemakerID
0x05 Carmen,SeaShantyID
0x06 Ximo,RunningStartID
0x07 Estelle,AstralBlessingID
0x08 Hermenegildo,StudiousBlowID
0x09 MrYodsen,LiquidCourageID
0x0A Durgham,ArmsMasteryID
0x0B Indio,CatchingUpID
0x0C Leandra,NonconformingID
0x0D Jaime,DogfightID
0x0E Leonor,EqualizerID
0x0F Ondeh,HardworkingID
0x10 Biko,WellRestedID
0x11 Tangyuan,MomentumID
0x12 Juan,DeftHandsID
0x13 Matteo,AdaptableID
0x14 Suzanne,PanacheID
0x15 Orlando,ShuffleID
0x16 Rahel,NailedDownID
0x17 Dmitr,WanderersFocusID
0x18 Husniye,SwiftID
0x19 Avocado,SmiteID
0x1A Magdalena,DubiousAdviceID
0x1B Ernest,DismountID
0x1C Kai,ArcaneArtificeID
0x1D Adrian,PulverizeID
0x1E Lexa,DisarmID
0x1F Fata,DelegationID
0x20 Ponte,BoardingPartyID
0x21 Passarola,ContraryWindsID
0x22 Neltume,PollenateID
0x23 Lyon,0x0
0x24 Orson,0x0
0x25 Noah,BreatherID
0x26 Valerie,0x0
0x27 Calista,0x0
0x28 Riev,0x0
0x29 Caellach,0x0
0x2A Fado,0x0
0x2B Windy,ThunderingHoovesID
0x2C Ruby,ReapingBladeID
0x2D Remora,BashID
0x2E Burt,MisfortuneID
0x2F Theana,PrecisionID
0x30 Rima,RerunAndHitID
0x31 Bolton,EarlyLeaveID
0x32 -,0x0
0x33 -,0x0
0x34 -,0x0
0x35 -,0x0
0x36 -,0x0
0x37 -,0x0
0x38 -,0x0
0x39 -,0x0
0x3A -,0x0
0x3B Lyon's Summon,0x0
0x3C <Summon>,0x0
0x3D Summoned Kite,0x0
0x3E Flint,0x0
0x3F Gerald,0x0
0x40 idk yet,0x0
0x41 Alonso,0x0
0x42 Elodia,0x0
0x43 Triana,AnalyzeID
0x44 Medwyn,HangoverID
0x45 Bartz,UnderhandedID
0x46 Khazhak,0x0
0x47 Blackheart,0x0
0x48 Buzu,0x0
0x49 Bozo,0x0
0x4A Geraldo,0x0
0x4B Yurena,0x0
0x4C Sanz,0x0
0x4D Contractor,0x0
0x4E Sentinel,0x0
0x4F,0x0
0x50 Slicer,0x0
0x51 Dicer,0x0
0x52 Santiago,0x0
0x53 Felipe,0x0
0x54 Incendivis,0x0
0x55 Rebel,0x0
0x56 Sierra,0x0
0x57 Bomb,FuseID
0x58 Log,0x0
0x59 -,0x0
0x5A Gunsmith,0x0
0x5B Sargargala,0x0
0x5C Log Pirate,0x0
0x5D Wight (Ch 11A),0x0
0x5E Big Brick,0x0
0x5F Hakman,0x0
0x60 MrMist,0x0
0x61 Yaoguai,0x0
0x62 TheDuke,0x0
0x63 TheDukes,0x0
0x64 Guard,0x0
0x65 Jozef,0x0
0x66 TheCloser,0x0
0x67 BrickBoys,0x0
0x68 Rochefort,0x0
0x69 A6 Pirate,0x0
0x6A Razorblood,0x0
0x6B Stingray,0x0
0x6C Ramiro,0x0
0x6D Manfred,0x0
0x6E CrimsonHeart,0x0
0x6F TorchUnit,0x0
0x70 Igniswords,0x0
0x71 Ignacio,0x0
0x72 TorchUnit2,0x0
0x73 Hugo,0x0
0x74 Juliana,0x0
0x75 Elodia,0x0
0x76 Ida,0x0
0x77 Docksman,0x0
0x78 A4FunnyArcher,0x0
0x79 Antlion,0x0
0x7A Kiril,0x0
0x7B Dalila,0x0
0x7C AlonsoChapter3,0x0
0x7D BlackheartElite,0x0
0x7E -,0x0
0x7F -,0x0
0x80 Grado Soldier (Main),0x0
0x81 -,0x0
0x82 -,0x0
0x83 -,0x0
0x84 -,0x0
0x85 -,0x0
0x86 -,0x0
0x87 Runamel,0x0
0x88 Jasper,0x0
0x89 C3 Pirate,0x0
0x8A Phantom,WaterwalkID
0x8B Phantom Elite,WaterwalkID
0x8C Grado,0x0
0x8D Grado Remnant (Main),0x0
0x8E Cutthroat,0x0
0x8F Grado Remnant (Cutscene/C16),0x0
0x90 Grado Remnant (C16),0x0
0x91 Grado Remnant (C16),0x0
0x92 Wraith (Sage),0x0
0x93 Wraith (Swords),0x0
0x94 Wraith (Axes),0x0
0x95 -,0x0
0x96 -,0x0
0x97 -,0x0
0x98 -,0x0
0x99 -,0x0
0x9A -,0x0
0x9B -,0x0
0x9C -,0x0
0x9D -,0x0
0x9E -,0x0
0x9F -,0x0
0xA0 - GreagorVillager,0x0
0xA1 - GreagorSailor,0x0
0xA2 - GreagorPatroller,0x0
0xA3 - GreagorLibrarian,0x0
0xA4 - GreagorGuard,0x0
0xA5 - GreagorSmuggler,0x0
0xA6 - GreagorShipwright,0x0
0xA7 - GreagorCaptain,0x0
0xA8 - GreagorPatron,0x0
0xA9 - GreagorPeddler,0x0
0xAA - GreagorLibrarian2,0x0
0xAB - GreagorVillager2,0x0
0xAC - GreagorPatron,0x0
0xAD - IncendivisCutscene mage,0x0
0xAE - GreagorVillager3,0x0
0xAF RebelThief,0x0
0xB0 C3 Traitor Rebel,RebelRebelID
0xB1 Salman,RebelRebelID
0xB2 Boru,0x0
0xB3 Monster,0x0
0xB4 Monster,0x0
0xB5 Monster,0x0
0xB6 Monster,0x0
0xB7 Monster,0x0
0xB8 Monster,0x0
0xB9 Monster,0x0
0xBA Monster (Gorgon Egg?),0x0
0xBB Monster,0x0
0xBC Monster,0x0
0xBD Monster (Dracozombie?),0x0
0xBE Demon King,0x0
0xBF -,0x0
0xC0 Frelian,0x0
0xC1 Frelian,0x0
0xC2 -,0x0
0xC3 -,0x0
0xC4 -,0x0
0xC5 Fado (Renais),0x0
0xC6 -,0x0
0xC7 Hayden (Frelia),0x0
0xC8 Mansel (Rausten),0x0
0xC9 Klimt (Carcino),0x0
0xCA Dara (Caer Pelyn),0x0
0xCB Ismaire (Jehanna),0x0
0xCC Pegasus Messenger,0x0
0xCD Rausten Knight,0x0
0xCE Rausten Knight,0x0
0xCF -,0x0
0xD0 - Yadney,0x0
0xD1 - Cruz,IncantationID
0xD2 - CruzFake,IncantationID
0xD3 - RecelosoPriest,0x0
0xD4 - RecelosoCorpse,0x0
0xD5 - RecelosoStudent,0x0
0xD6 - RecelosoGuard,0x0
0xD7 - RecelosoBarkeep,0x0
0xD8 - B4Bandit,0x0
0xD9 - Javier,0x0
0xDA - Azahar,0x0
0xDB - Nicodemus,0x0
0xDC -,0x0
0xDD -,0x0
0xDE -,0x0
0xDF -,0x0
0xE0 -,0x0
0xE1 -,0x0
0xE2 -,0x0
0xE3 -,0x0
0xE4 -,0x0
0xE5 -,0x0
0xE6 -,0x0
0xE7 -,0x0
0xE8 -,0x0
0xE9 -,0x0
0xEA -,0x0
0xEB -,0x0
0xEC -,0x0
0xED -,0x0
0xEE -,0x0
0xEF -,0x0
0xF0 -,0x0
0xF1 -,0x0
0xF2 -,0x0
0xF3 -,0x0
0xF4 River Folk Child (F),0x0
0xF5 River Folk (F),0x0
0xF6 River Folk (M),0x0
0xF7 River Folk (F),0x0
0xF8 River Folk Child,0x0
0xF9 Renais Citizen 1 (Child),0x0
0xFA Renais Citizen 2,0x0
0xFB Renais Citizen 3,0x0
0xFC Old 'Citizen',0x0
0xFD Enemy (Arena),0x0
0xFE Wall,0x0
0xFF Snag,0x0
